Word,Weight
hate you and,-2.955450248136325
wankers,-2.8645892647111415
delete this,-2.808169183373703
fucking kill,-2.7060119859200955
and her,-2.6744922251203045
fuck about,-2.674451094577869
and leave me,-2.6406860046465295
homework,-2.6061646315722107
sympathy,-2.5725055760249975
programme,-2.4628309524391923
sentiment,-2.4245870413276283
to stop editing,-2.416395072090963
59,-2.332399592143687
off do,-2.2914009252215877
blocked have,-2.2221173181537663
60,-2.188659382368183
was fun,-2.1812289096492647
embarrassed,-2.159005970283946
doesn count,-2.102396350068448
notable,-2.087720737348894
